
Per-check discrimination over 465 flawed and 1448 correct functions.
A check near 0 fires on correct code as often as on flawed code.

check                                              cweconf            bad       good  discrim
unreadVariable                                     563 low       56 (12.0%)   37 ( 2.6%)    +9.5%
cppcoreguidelines-owning-memory                    401 low      137 (29.5%)  309 (21.3%)    +8.1%
clang-analyzer-cplusplus.NewDelete                 416 high      36 ( 7.7%)    0 ( 0.0%)    +7.7%
clang-analyzer-unix.Malloc                         401 high      46 ( 9.9%)   37 ( 2.6%)    +7.3%
clang-analyzer-alpha.unix.cstring.OutOfBounds      787 high      34 ( 7.3%)    0 ( 0.0%)    +7.3%
clang-analyzer-deadcode.DeadStores                 563 high      78 (16.8%)  143 ( 9.9%)    +6.9%
nullPointer                                        476 high      33 ( 7.1%)   18 ( 1.2%)    +5.9%
clang-analyzer-unix.MismatchedDeallocator          763 high      23 ( 4.9%)    0 ( 0.0%)    +4.9%
clang-diagnostic-unused-variable                   563 high      33 ( 7.1%)   32 ( 2.2%)    +4.9%
clang-analyzer-core.NullDereference                476 high      32 ( 6.9%)   29 ( 2.0%)    +4.9%
cppcoreguidelines-pro-bounds-pointer-arithmetic    119 low       54 (11.6%)  115 ( 7.9%)    +3.7%
clang-analyzer-alpha.security.ArrayBoundV2         787 medium    17 ( 3.7%)    0 ( 0.0%)    +3.7%
kordon-unsigned-subtraction                        191 low       32 ( 6.9%)   48 ( 3.3%)    +3.6%
memleak                                            401 high      17 ( 3.7%)    3 ( 0.2%)    +3.4%
uninitvar                                          457 high      20 ( 4.3%)   19 ( 1.3%)    +3.0%
kordon-unsigned-addition                           190 low       32 ( 6.9%)   57 ( 3.9%)    +2.9%
autovarInvalidDeallocation                         590 high      13 ( 2.8%)    0 ( 0.0%)    +2.8%
doubleFree                                         415 high      12 ( 2.6%)    0 ( 0.0%)    +2.6%
cppcoreguidelines-pro-bounds-constant-array-ind    129 low       16 ( 3.4%)   13 ( 0.9%)    +2.5%
invalidLifetime                                    416 high      11 ( 2.4%)    0 ( 0.0%)    +2.4%
pointerOutOfBounds                                 119 high      10 ( 2.2%)    0 ( 0.0%)    +2.2%
unusedVariable                                     563 high      13 ( 2.8%)   11 ( 0.8%)    +2.0%
clang-analyzer-core.CallAndMessage                 457 high      18 ( 3.9%)   29 ( 2.0%)    +1.9%
bugprone-narrowing-conversions                     197 low       24 ( 5.2%)   49 ( 3.4%)    +1.8%
redundantInitialization                            563 low       12 ( 2.6%)   18 ( 1.2%)    +1.3%
redundantAssignment                                563 medium    19 ( 4.1%)   41 ( 2.8%)    +1.3%
clang-analyzer-core.uninitialized.Assign           457 high       6 ( 1.3%)    8 ( 0.6%)    +0.7%
clang-analyzer-cplusplus.NewDeleteLeaks            401 high      13 ( 2.8%)   30 ( 2.1%)    +0.7%
clang-analyzer-security.insecureAPI.strcpy         120 low       10 ( 2.2%)   23 ( 1.6%)    +0.6%
clang-analyzer-core.NonNullParamChecker            476 high       5 ( 1.1%)   15 ( 1.0%)    +0.0%

In-scope checks only, and only those landing in 10+ functions. Tier-0 checks
are excluded: their noise is already filed as a code-quality indicator.
